CompoundID,InChIKey,SMILES,logS,logP,MW
C1890,WLCFKPHMRNPAFZ-UHFFFAOYSA-M,CCCCCCCCCCCC[N+](CCCCCCCCCCCC)(C)C.[Cl-],-7.903704189,5.9086,418.183
C2181,URXQDXAVUYKSCK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC[NH+](C)C.[Cl-],-6.537272992,1.6162,305.97
C2218,PFKRTWCFCOUBHS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCN(C)C.Cl,-6.433879049,7.6115,334.023
C2701,GUJKBBOGALTPCN-UHFFFAOYSA-N,O=C(CN1CCN(CC1)CC=C(CCC=C(C)C)C)NN=Cc1ccc(o1)[N+](=O)[O-],-5.503395597,3.7381,417.502
C2725,VUFOSBDICLTFMS-UHFFFAOYSA-M,CCCCCCCCCCCCCCCC[N+](CC)(C)C.[Br-],-5.468805409,3.568,378.474
C2903,RBBWCVQDXDFISW-UHFFFAOYSA-N,CC(=CCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1)C,-5.224193776,4.0839,320.385
C2926,AXIPKWBIXSFROG-UHFFFAOYSA-N,CCCCCCCC[Sn](S[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC)(CCCCCCCC)CCCCCCCC,-5.191144437,19.7736,948.79
C229,JVSWJIKNEAIKJW-UHFFFAOYSA-N,CCCCCC(C)C,-5.0799999,3.2227,114.229
C389,OSSQSXOTMIGBCF-UHFFFAOYSA-N,CCCCCCCC#C,-4.2399998,2.9801,124.223
C4139,VDZOOKBUILJEDG-UHFFFAOYSA-M,CCCC[N+](CCCC)(CCCC)CCCC.[OH-],-4.012700001,4.8268,259.471
C4263,LWQZLQISFLBSGW-UHFFFAOYSA-N,ClC(=CCC1=C(O)c2c(C(=O)C1=O)cccc2)Cl,-3.912493514,3.4302,283.107
C532,UMIPWJGWASORKV-UHFFFAOYSA-N,CCCCCCC#C,-3.6600001,2.59,110.197
C5110,PGQAXGHQYGXVDC-UHFFFAOYSA-N,CCCCCCCCCCCCN(C)C.Cl,-3.304287217,5.2709,249.864
C5163,SARMGXPVOFNNNG-UHFFFAOYSA-N,CC(/N=C(/N=C(/Nc1ccc(cc1)Cl)\N)\N)C.Cl,-3.269560822,4.0653,290.192
C5244,SSOLNOMRVKKSON-UHFFFAOYSA-N,CC(/N=C(/N=C(/Nc1ccc(cc1)Cl)\N)\N)C,-3.211811196,3.2633,253.731
C665,OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,-3.1800001,2.1965,72.1488
C702,YZWKKMVJZFACSU-UHFFFAOYSA-N,CCCCCBr,-3.0699999,2.5715,151.045
C5521,PRHMYCNOWXYHEI-UHFFFAOYSA-N,O=C(Nc1ncco1)Nc1ccc(cc1)Cl,-3.027620181,3.118,237.642
C720,YVXHZKKCZYLQOP-UHFFFAOYSA-N,CCCCCC#C,-3.01,2.1999,96.1702
C5595,PJMSJOVJUFYHTQ-UHFFFAOYSA-N,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccncc1,-2.97776289,2.8383,243.218
C733,KMGBZBJJOKUPIA-UHFFFAOYSA-N,CCCCI,-2.96,2.2215,184.019
C5955,NGJLFMBOFBKYHK-VQHVLOKHSA-N,C/C(=C\c1ccccc1)/CC(=O)O,-2.746355792,2.5646,176.212
