CompoundID,InChIKey,SMILES,logS,logP,MW
C1714,BDIWFCKBPZPBQT-UHFFFAOYSA-N,CCCC[Sn](S[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,-15.67628661,10.4112,612.153
C1734,BIADSXOKHZFLSN-YEUOVSOVSA-N,C/C(=C\CCC1[C@](C)(O)CCC2[C@]1(C)CCCC2(C)C)/CC[C@@H]1C(=C)CCCC1(C)C,-11.79334998,8.8692,428.733
C1745,RCUAUWPBLXTBGM-UHFFFAOYSA-N,CC(=CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)CC=C(C)C)C,-11.027901,8.5122,543.826
C1761,COQAPWLZSHQTKA-MSDOJSJISA-N,O=C/C(=C\C[C@]12OC([C@H]3[C@]42Oc2c(C(=O)C4=C[C@@H](C1=O)C3)c(O)c1c(c2CC=C(C)C)OC(C=C1)(C)C)(C)C)/C,-10.05037097,5.6271,544.635
C1807,SJRYSBPDUOVODQ-UHFFFAOYSA-N,COc1ccc(cc1)C(=Cc1ccc(cc1)C(=N)N)c1ccc(cc1)OC.Cl,-8.967076424,6.1788,394.894
C1808,KISDGNGREAJPQR-OICBGKIFSA-N,OC[C@H]1NC(=O)[C@H](C(C)C)N(c2c3c(C1)c[nH]c3c(cc2)[C@](CCC=C(C)C)(C=C)C)C,-8.947378142,5.2458,437.617
C1810,XHMIIRLZSKEDPY-UHFFFAOYSA-N,CC(=CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)C,-8.935435009,7.244,432.641
C1856,JYYFMIOPGOFNPK-AGRJPVHOSA-N,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,-8.334127951,6.139,306.483
C1859,IECPWNUMDGFDKC-MZJAQBGESA-N,CC(=O)O[C@H]1C[C@]2([C@H](/C/1=C(/C(=O)O)\CCC=C(C)C)C[C@H]([C@@H]1[C@]2(C)CC[C@@H]2[C@]1(C)CC[C@H]([C@H]2C)O)O)C,-8.302983458,5.6661,516.709
C1879,KFKRXESVMDBTNQ-AMPAVEGJSA-N,OC(=O)CCC1=C(C)/C/2=C/c3[nH]c(c(c3C)C(O)C)/C=c/3\[nH]/c(=C\C4=N/C(=C\C1=N2)/C(=C4C)CCC(=O)O)/c(C(O)C)c3C,-8.082604066,3.0569,598.689
C1935,RHNRLUFRIWVFOF-UHFFFAOYSA-N,CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C.Cl,-7.560620848,7.0997,429.038
C1943,MDFZYGLOIJNNRM-OAJDADRGSA-N,CC(=O)O[C@H]1C[C@]2([C@H](/C/1=C(/C(=O)O)\CCC=C(C)C)CC[C@@H]1[C@]2(C)C(=O)[C@@H](OC(=O)C)[C@@H]2[C@]1(C)C=CC(=O)[C@H]2C)C,-7.53845872,5.4001,568.698
C69,LWLJUMBEZJHXHV-UHFFFAOYSA-N,ClC1=C(Cl)C(=C([C@]1(Cl)[C@]1(Cl)C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,-7.2800002,7.7256,474.637
C2040,CIPKTKYIACDNOR-UHFFFAOYSA-N,CC(=CCN(CCC(c1cccc2c1cccc2)(C(=O)N)C)CC=C(C)C)C.Cl,-7.039427734,6.7096,415.011
C2100,GJFGPQLNCBQNPS-UHFFFAOYSA-N,COc1cc2c(cc1OC)CCN(C2CCc1ccc(cc1)Cl)CC=C(C)C,-6.804055841,5.7933,399.954
C2189,DRQHMYYWGQFHOV-UHFFFAOYSA-N,CC(=CCC(c1cccc2c1cccc2)(C(=O)N)CCN1CCCCC1)C,-6.516413859,5.4334,364.524
C2191,OLGVYMCHLGYBAQ-UHFFFAOYSA-N,CC(=CCN(CC=C(C)C)CCC(c1cccc2c1cccc2)C(=O)N)C,-6.508658394,5.7335,364.524
C2209,ZYMUNTZVOUBQAI-JSAVKQRWSA-N,COc1ccc(cc1)/C=C/1\CCC/C(=C\c2ccc(cc2)OC)/C1=O,-6.467380911,4.9238,334.408
C2264,BGQDCDRDPCVLJE-UHFFFAOYSA-N,COc1ccc2c3c1cccc3C(=O)c1c2cccc1,-6.315090259,4.0598,260.287
C2308,PYTDDYLZYYKESK-UHFFFAOYSA-N,CCCCCCCCCCSCCCCCN1CSCC1.Cl,-6.193029049,6.7768,368.084
C2309,YNAKDCXETKZUAM-UHFFFAOYSA-N,CCCCCCCCCSCCCCCCN1CCSC1.Cl,-6.193029049,6.7768,368.084
C2347,MPEKZXIZMHBUPD-UHFFFAOYSA-N,CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CC=C(C)C)CC,-6.106277143,5.3514,352.513
C137,HPQURZRDYMUHJI-UHFFFAOYSA-N,CCCCCC1CCCC1,-6.0799999,3.7569,140.266
C2402,YZKZXTBSUSEYQZ-UHFFFAOYSA-N,OP(=O)(O)O.CCOc1ccc(cc1OC)Cc1nc(C)cc2c1cc(OC)c(c2)OC,-6.017555248,3.6299,465.433
C2409,HOCKJJPTFSEXEJ-UHFFFAOYSA-N,CC(=CCC(c1cccc2c1cccc2)(C(=O)N)CCN1CCCC1)C,-5.995692207,5.0433,350.497
C2413,HJHVQCXHVMGZNC-JCJNLNMISA-M,CC(=O)O[C@H]1C[C@]2([C@H](/C/1=C(/C(=O)[O-])\CCC=C(C)C)C[C@H]([C@@H]1[C@]2(C)CC[C@@H]2[C@]1(C)CC[C@H]([C@H]2C)O)O)C.[Na+],-5.990985084,4.3314,538.691
C2431,GKQPCPXONLDCMU-CCEZHUSRSA-N,CCOC(=O)C1=C(C)NC(=C(C1c1ccccc1/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C,-5.953272132,4.7313,455.543
C2593,JYNMKSDVPCAZCM-UHFFFAOYSA-N,CCCCCCCCSCCCCCCN1CSCC1.Cl,-5.672849211,6.3867,354.057
C2600,VVPAATLHWUDQMI-MZIRSVLISA-N,O[C@H]([C@H](C(=O)O)O)C(=O)O.COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC=C(C)C,-5.66019207,2.5351,475.574
C2644,BJFPXELCDQCHFX-UHFFFAOYSA-N,CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CC=C(C)C)C,-5.585069586,4.9613,338.486
C174,NKPPORKKCMYYTO-DHZHZOJOSA-N,COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)/C=C/c1ccccc1)C,-5.54,3.939,349.38
C2799,KTUXEHNBBHDTPH-UHFFFAOYSA-N,COc1ccc2c(c1)c(cc[nH+]2)C(Cc1[nH+]ccc2c1cccc2)O.[Cl-].[Cl-],-5.352778432,-3.0861,403.302
C2809,RGLLOUBXMOGLDQ-IVEVATEUSA-N,C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]2(C)O)C,-5.33872201,3.778,330.464
C2901,ZLAMOIIYVOQQBW-NSCUHMNNSA-N,C/C=C/CCC1CCCCN1CCCOC(=O)c1ccccc1,-5.227098562,4.3822,315.45
C2936,YJQPYGGHQPGBLI-KGSXXDOSSA-N,CO[C@@H]1[C@@H](OC(=O)N)[C@@H](O)[C@@H](OC1(C)C)Oc1ccc2c(c1C)oc(=O)c(c2O)NC(=O)c1ccc(c(c1)CC=C(C)C)O,-5.180495951,4.4004,612.624
C219,VUNCWTMEJYMOOR-UHFFFAOYSA-N,ClC1=C(Cl)C(C(=C1Cl)Cl)(Cl)Cl,-5.1799998,4.5523,272.772
C223,LAIUFBWHERIJIH-MRVPVSSYSA-N,CCCC[C@@H](CC)C,-5.1599998,3.2227,114.229
C2956,VNONOKVNCRGYBP-UHFFFAOYSA-N,CCCCCCCCSCCCCCN1CSCC1.Cl,-5.153112936,5.9966,340.031
C2957,JUIYSFPOULFJDP-UHFFFAOYSA-N,CCCCCCCSCCCCCCN1CCSC1.Cl,-5.153112936,5.9966,340.031
C225,PVVKNINYCJVIFZ-UHFFFAOYSA-N,COc1cc(C)c2c(c1)n(CC)c1ncccc1c(=O)[nH]2,-5.1500001,2.7769,283.325
C230,UPQWMVAELITTGQ-UHFFFAOYSA-N,CCCC(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1,-5.0700002,3.0495,352.384
C3038,GNFSPFYMMKMHOG-UHFFFAOYSA-N,CN(CCC(c1cccc2c1cccc2)(C(=O)N)CC=C(C)C)C,-5.064013827,4.5712,324.46
C3039,LANDSJLNLKENGO-UHFFFAOYSA-N,CN(CCC(c1ccc2c(c1)cccc2)(C(=O)N)CC=C(C)C)C,-5.064013827,4.5712,324.46
C3225,FHORWCGUALMRKR-UHFFFAOYSA-N,CCCCCCCCCCCC[N+]1([O-])CCOCC1,-4.840395795,4.2109,271.439
C3320,UBNYRXMKIIGMKK-RMKNXTFCSA-N,COc1ccc(cc1)/C=C/C(=O)OCCC(C)C,-4.708378946,3.2977,248.318
C3325,GLFNDSLRJPGINC-YLFUTEQJSA-N,CCCCOc1c(OC)cccc1C(=O)OCCO/[NH+]=C/CCC.[Cl-],-4.699404651,-1.082,373.872
C295,MGWAVDBGNNKXQV-UHFFFAOYSA-N,CC(COC(=O)c1ccccc1C(=O)OCC(C)C)C,-4.6599998,3.3122,278.343
C3394,BPEUAZQCLHIVHY-UHFFFAOYSA-N,CCCCCCCCCSCCCN1CCSC1.Cl,-4.634119043,5.6065,326.004
C3395,RMYUDBIWUBWSPC-UHFFFAOYSA-N,CCCCCCCSCCCCCN1CCSC1.Cl,-4.634119043,5.6065,326.004
C3396,LOIRYAMMDZIGOO-UHFFFAOYSA-N,CCCCCCSCCCCCCN1CCSC1.Cl,-4.634119043,5.6065,326.004
C3435,GXDHCNNESPLIKD-UHFFFAOYSA-N,CCCCC(C)C,-4.596055676,2.8326,100.202
C317,MBDMKWJEKDHRRP-UHFFFAOYSA-N,CCOC(=O)c1ccccc1S(=O)(=O)NN(c1nc(Cl)cc(n1)OC)C=O,-4.5799999,3.2792,414.821
C3469,LALJFUOONHRLRK-YEUQMBKVSA-N,COc1cc(/C=C/C(=O)CCN2CCN(CC2)c2ccccc2Cl)cc(c1OC)OC.Cl.O,-4.56493484,4.901,499.427
C340,FBFCVJNZKBVVRP-UHFFFAOYSA-N,CC(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1,-4.4699998,2.2693,324.331
C358,DOIRQSBPFJWKBE-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4000001,3.6004,278.343
C3723,BWYOJTILHQWIRQ-RRABGKBLSA-N,COc1cc(/C=C/C(=O)CCN2CCN(CC2)c2ccccc2C)cc(c1OC)OC.Cl,-4.3193077,4.6203,460.994
C3830,RQUSKNJBURBAJD-RVDMUPIBSA-N,CCC(=O)N1C2CCC1CN(C2)C/C(=C/c1ccccc1)/C,-4.224422462,3.0509,298.423
C3858,VKQFCGNPDRICFG-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OCC(C)C)C,-4.197837183,4.0538,388.414
C3882,GTVGGHQLKNCAMB-UHFFFAOYSA-N,N#CC(=NNc1ccc(c(c1)Cl)Cl)C#N,-4.185380518,2.88146,239.061
C3985,XEFOQDPAHAWQEH-UHFFFAOYSA-N,CCCCCCCCCSCCN1CSCC1.Cl,-4.115716338,5.2164,311.978
C3986,RUNZJJWOUSDDRH-UHFFFAOYSA-N,CCCCCCCCSCCCN1CCSC1.Cl,-4.115716338,5.2164,311.978
C3987,BOZCACJUSDJWPC-UHFFFAOYSA-N,CCCCCCCSCCCCN1CCSC1.Cl,-4.115716338,5.2164,311.978
C3988,ZFOZGKFRTQWEQW-UHFFFAOYSA-N,CCCCCCSCCCCCN1CCSC1.Cl,-4.115716338,5.2164,311.978
C3989,ZPROCDMEUHMNTJ-UHFFFAOYSA-N,CCCCCSCCCCCCN1CSCC1.Cl,-4.115716338,5.2164,311.978
C434,LMNZTLDVJIUSHT-UHFFFAOYSA-N,COP(=S)(SCN1C(=O)c2c(C1=O)cccc2)OC,-4.0999999,3.0791,317.321
